Make,Model,Image URL
BMW,5 Series,https://storage.googleapis.com/mtc-cloud101-cars/BMW_5 Series.jpg
Hyundai,Tucson,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
Hyundai,Elantra,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Elantra.jpg
Ford,Mustang,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Mustang.jpg
BMW,X3,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X3.jpg
Chevrolet,Equinox,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Equinox.jpg
Audi,A4,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A4.jpg
BMW,7 Series,https://storage.googleapis.com/mtc-cloud101-cars/BMW_7 Series.jpg
Honda,Pilot,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
Ford,Explorer,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Explorer.jpg
BMW,X5,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
Honda,CR-V,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
Toyota,Corolla,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Corolla.jpg
Toyota,Tacoma,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Tacoma.jpg
Volkswagen,Atlas,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
Ford,Focus,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Focus.jpg
Volkswagen,Golf,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
Chevrolet,Silverado,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Silverado.jpg
Nissan,Sentra,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Sentra.jpg
Mercedes-Benz,E-Class,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_E-Class.jpg
Volkswagen,Jetta,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
Nissan,Altima,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
Nissan,Pathfinder,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Pathfinder.jpg
Nissan,Rogue,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
Audi,A3,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
Volkswagen,Tiguan,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Tiguan.jpg
Audi,Q7,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
Ford,F-150,https://storage.googleapis.com/mtc-cloud101-cars/Ford_F-150.jpg
Hyundai,Sonata,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Sonata.jpg
Honda,Odyssey,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Odyssey.jpg
Audi,A6,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A6.jpg
Mercedes-Benz,GLC,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLC.jpg
Chevrolet,Malibu,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
Chevrolet,Camaro,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
Hyundai,Santa Fe,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Santa Fe.jpg
BMW,3 Series,https://storage.googleapis.com/mtc-cloud101-cars/BMW_3 Series.jpg
Honda,Civic,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Civic.jpg
Volkswagen,Passat,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
Ford,Escape,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
Toyota,Highlander,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
Nissan,Murano,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Murano.jpg
Mercedes-Benz,C-Class,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_C-Class.jpg
Chevrolet,Traverse,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Traverse.jpg
Hyundai,Kona,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Kona.jpg
Audi,Q5,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
Toyota,Camry,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
Toyota,Rav4,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Rav4.jpg
Honda,Accord,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
Mercedes-Benz,S-Class,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_S-Class.jpg
Mercedes-Benz,GLE,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLE.jpg
